# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

farfan_pipeline.phases.Phase_02.contracts.phase2_10_02_output_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.contracts.phase2_input_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.contracts.phase2_mission_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.contracts.phase2_output_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.calibration.calibration_core|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.epistemic_core|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_30_05_distributed_cache|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_50_02_batch_optimizer|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_95_05_execution_predictor|ERA_MODERN|LIVE|N/A
farfan_pipeline.processing.policy_processor|ERA_MODERN|DEAD|N/A
.PHASE_2_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
.phase2_10_00_phase_2_constants|ERA_UNKNOWN|DEAD|N/A
.phase2_20_00_method_signature_validator|ERA_UNKNOWN|DEAD|N/A
.phase2_20_01_method_source_validator|ERA_UNKNOWN|DEAD|N/A
.phase2_30_05_distributed_cache|ERA_UNKNOWN|DEAD|N/A
.phase2_50_01_chunk_processor|ERA_UNKNOWN|DEAD|N/A
.phase2_50_02_batch_optimizer|ERA_UNKNOWN|DEAD|N/A
.phase2_60_01_contract_validator_cqvr|ERA_UNKNOWN|DEAD|N/A
.phase2_60_02_arg_router|ERA_UNKNOWN|DEAD|N/A
.phase2_60_03_signature_runtime_validator|ERA_UNKNOWN|DEAD|N/A
.phase2_85_00_evidence_nexus_sota_implementations|ERA_UNKNOWN|DEAD|N/A
.phase2_95_00_executor_profiler|ERA_UNKNOWN|DEAD|N/A
.phase2_95_01_metrics_persistence|ERA_UNKNOWN|DEAD|N/A
.phase2_95_02_precision_tracking|ERA_UNKNOWN|DEAD|N/A
.phase2_95_04_metrics_exporter|ERA_UNKNOWN|DEAD|N/A
.phase2_95_05_execution_predictor|ERA_UNKNOWN|DEAD|N/A
.phase2_95_06_benchmark_performance_optimizations|ERA_UNKNOWN|DEAD|N/A
.phase2_96_00_contract_migrator|ERA_UNKNOWN|DEAD|N/A
structlog  # type: ignore|ERA_UNKNOWN|DEAD|N/A
.contract_assembler|ERA_UNKNOWN|DEAD|N/A
.input_registry|ERA_UNKNOWN|DEAD|N/A
.method_expander|ERA_UNKNOWN|DEAD|N/A
.chain_composer|ERA_UNKNOWN|DEAD|N/A
.contract_generator|ERA_UNKNOWN|DEAD|N/A
.contract_validator|ERA_UNKNOWN|DEAD|N/A
.json_emitter|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.contract_generator|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_semantic_expander|ERA_MODERN|DEAD|N/A
textstat  # Flesch-Kincaid readability|ERA_UNKNOWN|DEAD|N/A
requests|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.evidence_nexus|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.calibration_policy|ERA_MODERN|DEAD|N/A
orchestration.class_registry|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_contract_validator|ERA_MODERN|DEAD|N/A
signal|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_20_00_method_signature_validator|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_40_02_schema_validation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_40_00_synchronization|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_40_01_executor_chunk_synchronizer|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.PHASE_5_CONSTANTS|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.primitives.phase5_00_00_types|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.phase5_20_00_area_validation|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.primitives.phase5_00_00_statistical_primitives|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.primitives.phase5_00_00_comparative_analytics|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.contracts.phase5_mission_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_05.contracts.phase5_output_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_05.phase5_30_00_area_integration|ERA_MODERN|LIVE|N/A
.PHASE_5_CONSTANTS|ERA_UNKNOWN|DEAD|N/A
.phase5_00_00_area_score|ERA_UNKNOWN|DEAD|N/A
.phase5_10_00_area_aggregation|ERA_UNKNOWN|DEAD|N/A
.phase5_15_00_performance_boost|ERA_UNKNOWN|DEAD|N/A
.phase5_20_00_area_validation|ERA_UNKNOWN|DEAD|N/A
.phase5_30_00_area_integration|ERA_UNKNOWN|DEAD|N/A
.contracts.phase5_input_contract|ERA_UNKNOWN|DEAD|N/A
.contracts.phase5_output_contract|ERA_UNKNOWN|DEAD|N/A
.contracts.phase5_mission_contract|ERA_UNKNOWN|DEAD|N/A
numba|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.contracts.monotone_compliance|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.snapshot_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.failure_fallback|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.idempotency_dedup|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.refusal|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.risk_certificate|ERA_MODERN|DEAD|N/A
farfan_pipeline.question_context|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.context_immutability|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.total_ordering|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.budget_monotonicity|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.alignment_stability|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.traceability|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.routing_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.permutation_invariance|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.concurrency_determinism|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.retriever_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.utils.enhanced_contracts|ERA_MODERN|DEAD|N/A
audit_trail|ERA_UNKNOWN|DEAD|N/A
.audit_trail|ERA_UNKNOWN|DEAD|N/A
.runtime_contracts|ERA_UNKNOWN|DEAD|N/A
orchestration.verify_contracts|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.executors.base_executor_with_contract|ERA_MODERN|DEAD|N/A
.signal_types.client|ERA_UNKNOWN|DEAD|N/A
.signal_types.cache|ERA_UNKNOWN|DEAD|N/A
.audit.questionnaire_access_audit|ERA_UNKNOWN|DEAD|N/A
.event|ERA_UNKNOWN|DEAD|N/A
.bus|ERA_UNKNOWN|DEAD|N/A
queue|ERA_UNKNOWN|DEAD|N/A
. signal|ERA_UNKNOWN|DEAD|N/A
.harmonization_validator|ERA_UNKNOWN|DEAD|N/A
fnmatch|ERA_UNKNOWN|DEAD|N/A
..validators.depuration|ERA_UNKNOWN|DEAD|N/A
..wiring.wiring_config|ERA_UNKNOWN|DEAD|N/A
..vocabulary.signal_vocabulary|ERA_UNKNOWN|DEAD|N/A
..vocabulary.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A
..vehicles|ERA_UNKNOWN|DEAD|N/A
..consumers|ERA_UNKNOWN|DEAD|N/A
..core.contracts|ERA_UNKNOWN|DEAD|N/A
.core.event|ERA_UNKNOWN|DEAD|N/A
.core.contracts|ERA_UNKNOWN|DEAD|N/A
.core.bus|ERA_UNKNOWN|DEAD|N/A
..core.signal|ERA_UNKNOWN|LIVE|N/A
..core.bus|ERA_UNKNOWN|DEAD|N/A
.wiring_config|ERA_UNKNOWN|DEAD|N/A
...core.contracts|ERA_UNKNOWN|DEAD|N/A
.phase4_aggregation_consumer|ERA_UNKNOWN|DEAD|N/A
.phase3_10_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A
.phase2_factory_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2_executor_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2_evidence_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2_contract_consumer|ERA_UNKNOWN|DEAD|N/A
.phase5_uncertainty_consumer|ERA_UNKNOWN|DEAD|N/A
.base_consumer|ERA_UNKNOWN|DEAD|N/A
.phase0.phase0_90_02_bootstrap|ERA_BOOTSTRAP|DEAD|N/A
.phase0.providers|ERA_UNKNOWN|DEAD|N/A
.phase0.wiring_types|ERA_UNKNOWN|DEAD|N/A
.phase1.phase1_11_00_signal_enrichment|ERA_UNKNOWN|DEAD|N/A
.phase1.phase1_13_00_cpp_ingestion|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_factory_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_evidence_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_contract_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_executor_consumer|ERA_UNKNOWN|DEAD|N/A
.phase3.phase3_10_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A
.phase4.phase4_aggregation_consumer|ERA_UNKNOWN|DEAD|N/A
.phase5.phase5_uncertainty_consumer|ERA_UNKNOWN|DEAD|N/A
.phase6.phase6_configuration_consumer|ERA_UNKNOWN|DEAD|N/A
.phase7.phase7_meso_consumer|ERA_UNKNOWN|DEAD|N/A
.phase8.phase8_30_00_signal_enriched_recommendations|ERA_UNKNOWN|DEAD|N/A
.phase9.phase9_reporting_consumer|ERA_UNKNOWN|DEAD|N/A
.phase9_reporting_consumer|ERA_UNKNOWN|DEAD|N/A
.phase0_90_02_bootstrap|ERA_BOOTSTRAP|DEAD|N/A
.providers|ERA_UNKNOWN|DEAD|N/A
.wiring_types|ERA_UNKNOWN|DEAD|N/A
... core.signal|ERA_UNKNOWN|DEAD|N/A
.phase6_configuration_consumer|ERA_UNKNOWN|DEAD|N/A
..core.event|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.consumption|ERA_UNKNOWN|DEAD|N/A
.generate_contracts|ERA_UNKNOWN|DEAD|N/A
.. core.contracts|ERA_UNKNOWN|DEAD|N/A
..irrigation. irrigation_map|ERA_UNKNOWN|DEAD|N/A
.base_vehicle|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.structural|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.epistemic|ERA_UNKNOWN|DEAD|N/A
.signal_registry|ERA_UNKNOWN|DEAD|N/A
.signal_context_scoper|ERA_UNKNOWN|DEAD|N/A
.signal_evidence_extractor|ERA_UNKNOWN|DEAD|N/A
.signal_intelligence_layer|ERA_UNKNOWN|DEAD|N/A
.signal_loader|ERA_UNKNOWN|DEAD|N/A
.signal_quality_metrics|ERA_UNKNOWN|DEAD|N/A
.signal_enhancement_integrator|ERA_UNKNOWN|DEAD|N/A
.signal_irrigator|ERA_UNKNOWN|DEAD|N/A
.signals|ERA_UNKNOWN|DEAD|N/A
.contrast.contrast_signals_vehicle|ERA_UNKNOWN|DEAD|N/A
.structural.schema_validator_vehicle|ERA_UNKNOWN|DEAD|N/A
.contrast_signals_vehicle|ERA_UNKNOWN|DEAD|N/A
..base_vehicle|ERA_UNKNOWN|DEAD|N/A
...core.event|ERA_UNKNOWN|DEAD|N/A
...signal_types.types.contrast|ERA_UNKNOWN|DEAD|N/A
.schema_validator_vehicle|ERA_UNKNOWN|DEAD|N/A
...signal_types.types.structural|ERA_UNKNOWN|DEAD|N/A
.. core.signal|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.integrity|ERA_UNKNOWN|DEAD|N/A
.irrigation_map|ERA_UNKNOWN|DEAD|N/A
..vehicles.base_vehicle|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.operational|ERA_UNKNOWN|DEAD|N/A
.depuration|ERA_UNKNOWN|DEAD|N/A
.vocabulary.signal_vocabulary|ERA_UNKNOWN|DEAD|N/A
.vocabulary.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A
.vocabulary.alignment_checker|ERA_UNKNOWN|DEAD|N/A
.irrigation.irrigation_map|ERA_UNKNOWN|DEAD|N/A
.irrigation.irrigation_executor|ERA_UNKNOWN|DEAD|N/A
.vehicles.signal_registry|ERA_UNKNOWN|DEAD|N/A
.vehicles.signal_context_scoper|ERA_UNKNOWN|DEAD|N/A
.scripts.generate_contracts|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_consumption_integration|ERA_SIGNAL_CONSUMPTION|DEAD|N/A
. signal_vocabulary|ERA_UNKNOWN|DEAD|N/A
.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A
.structural|ERA_UNKNOWN|DEAD|N/A
.integrity|ERA_UNKNOWN|DEAD|N/A
.epistemic|ERA_UNKNOWN|DEAD|N/A
.contrast|ERA_UNKNOWN|DEAD|N/A
.operational|ERA_UNKNOWN|DEAD|N/A
.consumption|ERA_UNKNOWN|DEAD|N/A
.orchestration|ERA_UNKNOWN|DEAD|N/A
.types.structural|ERA_UNKNOWN|DEAD|N/A
.types.integrity|ERA_UNKNOWN|DEAD|N/A
.types.epistemic|ERA_UNKNOWN|DEAD|N/A
.types.contrast|ERA_UNKNOWN|DEAD|N/A
.types.operational|ERA_UNKNOWN|DEAD|N/A
.types.consumption|ERA_UNKNOWN|DEAD|N/A
tenacity|ERA_UNKNOWN|DEAD|N/A
.client|ERA_UNKNOWN|DEAD|N/A
.base_extractor|ERA_UNKNOWN|DEAD|N/A
.financial_chain_extractor|ERA_UNKNOWN|DEAD|N/A
.causal_verb_extractor|ERA_UNKNOWN|DEAD|N/A
.institutional_ner_extractor|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.dependencies|ERA_MODERN|LIVE|N/A
.policy_area_scorer|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.validators|ERA_MODERN|LIVE|N/A
.modular_resolver|ERA_UNKNOWN|DEAD|N/A
.pdm_structural_profile|ERA_UNKNOWN|DEAD|N/A
.normative_compliance_validator|ERA_UNKNOWN|DEAD|N/A
.empirical_extractor_base|ERA_UNKNOWN|DEAD|N/A
{extractor.__class__.__module__}|ERA_UNKNOWN|DEAD|N/A
.structural_marker_extractor|ERA_UNKNOWN|DEAD|N/A
.normative_reference_extractor|ERA_UNKNOWN|DEAD|N/A
.quantitative_triplet_extractor|ERA_UNKNOWN|DEAD|N/A
.extractor_validator|ERA_UNKNOWN|DEAD|N/A
.pdm_contracts|ERA_UNKNOWN|DEAD|N/A
.profile.pdm_structural_profile|ERA_UNKNOWN|DEAD|N/A
.contracts.pdm_contracts|ERA_UNKNOWN|DEAD|N/A
