# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

farfan_pipeline.phases.Phase_00.primitives.json_logger|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.signature_validator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.performance_metrics|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.coverage_gate|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.primitives.schema_monitor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_90_00_main|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
unicodedata|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
importlib.resources|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase0_90_01_verified_pipeline_runner|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives.constants|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
platform|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
psutil  # type: ignore|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pickle|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
glob|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_quality_metrics|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.uoa_sensitive|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.runtime_context|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_03_00_models|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives.truncation_audit|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives.streaming_extractor|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_05_00_thread_safe_results|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.PHASE_1_CONSTANTS|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_01_00_cpp_models|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_09_00_circuit_breaker|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
langdetect|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fitz  # PyMuPDF for PDF extraction|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_11_00_signal_enrichment|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_12_00_structural|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.methods.financiero_viabilidad_tablas|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
fitz|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.contracts.phase1_constitutional_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.contracts.phase1_mission_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.phase1_06_00_questionnaire_mapper|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.PHASE_1_CONSTANTS|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
..PHASE_1_CONSTANTS|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.streaming_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.truncation_audit|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_protocols|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
unittest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.primitives.streaming_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.phase1_07_00_sp4_question_aware|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_01.phase1_11_00_signal_enrichment|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.phase1_13_00_cpp_ingestion|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_06_00_questionnaire_mapper|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_07_00_sp4_question_aware|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase1_12_01_pdm_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
phase2_30_05_distributed_cache|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
phase2_50_02_batch_optimizer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
phase2_95_05_execution_predictor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
signal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
structlog  # type: ignore|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.questionnaire_signal_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_semantic_expander|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_10_00_canonical_questionnaire|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_60_04_calibration_policy|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.processing.policy_processor|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.method_signature_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.chain_composer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.input_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.method_expander|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contract_assembler|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contract_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.json_emitter|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.contract_generator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
. input_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
. method_expander|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
. contract_assembler|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contract_generator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.class_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_intelligence_layer|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.registries.questionnaire_signal_registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
orchestration.seed_registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.validators.phase1_output_validator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_zero.phase0_90_01_verified_pipeline_runner|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.contracts.phase2_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.contracts.phase2_mission_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.contracts.phase2_output_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
textstat  # Flesch-Kincaid readability|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_40_02_schema_validation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_40_00_synchronization|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.phase2_40_01_executor_chunk_synchronizer|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
prometheus_client|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.interphase.phase1_phase2_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.interphase.phase2_phase3_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
requests|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.calibration_core|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.epistemic_core|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_intelligence_layer|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.evidence_nexus|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.calibration_policy|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_contract_validator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_03.phase3_15_00_empirical_thresholds_loader|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.config.threshold_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
..primitives.phase3_00_00_quality_levels|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_00_00_mathematical_foundation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_00_00_quality_levels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_00_00_scoring_modalities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..contracts.phase03_input_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..contracts.phase03_output_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_05_00_nexus_interface_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
numbers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_03.phase3_22_00_validation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_03.phase3_20_00_score_extraction|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_03.contracts.phase03_input_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.contracts.phase03_input_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contracts.phase03_output_contract|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.interphase.phase3_05_00_nexus_interface_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_20_00_score_extraction|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_22_00_validation|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_24_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives.phase3_00_00_quality_levels|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.primitives.phase3_00_00_scoring_modalities|ERA_BOOTSTRAP|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sentence_transformers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.metrics.pairwise|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.core.dependency_lockdown|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
retry_handler|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
torch|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.spatial.distance|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.special|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
transformers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.data_models.unit_of_analysis|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_00_02_runtime_error_fixes|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.contradiction_deteccion|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.constants|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.methods.config_schemas|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
econml.dml|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
econml.metalearners|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.ensemble|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.linear_model|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
decimal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
img2table.document|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
tabula|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.cluster|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.feature_extraction.text|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.spc_causal_bridge|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pydot|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
rapidfuzz|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dnp_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
inference.bayesian_adapter|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.retry_handler|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.methods.embedding_cache_sota|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
contradiction_deteccion|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
financiero_viabilidad_tablas|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.stats|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
nltk.corpus|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
nltk.tokenize|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
nltk|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
PyPDF2|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
docx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.utils.runtime_error_fixes|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
causalnex.inference|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
causalnex.network|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
causalnex.structure|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
causalnex.structure.notears|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
networkx.drawing.nx_pydot|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dowhy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
mypy.plugin|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
mypy.types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pylint.checkers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pylint.interfaces|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pylint_unreachable_fallback|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi.exception_handlers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sse_starlette.sse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
starlette.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.api_v1_errors|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.api_v1_router|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.auth_router|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
..api.pipeline_connector|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
spacy.pipeline|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..api.api_server|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_schemas|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pdet_colombia_data|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
difflib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
httpx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_store|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.auth_admin|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flask|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flask_cors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flask_socketio|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
werkzeug.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..api.dashboard_data_service|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
secrets|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
bcrypt|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.cross_document_comparative|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.orchestration.cli|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.entrypoint.main|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.normative_compliance_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
audit_trail|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.utils.enhanced_contracts|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.refusal|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.snapshot_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.concurrency_determinism|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.idempotency_dedup|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.budget_monotonicity|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.question_context|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.context_immutability|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.traceability|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.failure_fallback|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.permutation_invariance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.monotone_compliance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.total_ordering|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.retriever_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.risk_certificate|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.routing_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.alignment_stability|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
orchestration.verify_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.executors.base_executor_with_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.audit_trail|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.runtime_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.empirical_extractor_base|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.structural_marker_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.quantitative_triplet_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.normative_reference_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.programmatic_hierarchy_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.financial_chain_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.population_disaggregation_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.temporal_consistency_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.causal_verb_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.institutional_ner_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.semantic_relationship_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.extractors.extractor_orchestrator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors.programmatic_hierarchy_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
{extractor.__class__.__module__}|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.extractor_validator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.extractor_orchestrator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.base_extractor|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
. signal_vocabulary|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_consumption_integration|ERA_SIGNAL_CONSUMPTION|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
... core.signal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.structural|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integrity|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.epistemic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.contrast|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.operational|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.consumption|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.types.structural|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.types.integrity|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.types.epistemic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.types.contrast|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.types.operational|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.types.consumption|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.. core.contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..irrigation. irrigation_map|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.generate_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..base_consumer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...core.contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase3_10_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
